id,symbol,price,qty,status,lastUpdate
165,PSX,2173.82427,9438,ACTIVE,2024-12-28T10:32:44
166,CNI,1917.96115,5042,CLOSED,2024-12-28T10:32:45
167,VZ,449.15785,9316,NORMAL,2024-12-28T10:32:46
168,DDOG,133.34771,8147,PENDING,2024-12-28T10:32:47
169,CCI,85.45544,8731,ACTIVE,2024-12-28T10:32:48
170,CCI,43.46862,3061,ACTIVE,2024-12-28T10:32:49
171,MA,459.76493,993,ALERT,2024-12-28T10:32:50
172,NEE,1237.21901,9491,CLOSED,2024-12-28T10:32:51
173,ZS,1871.47150,1795,ALERT,2024-12-28T10:32:52
174,GE,1813.37659,4719,ACTIVE,2024-12-28T10:32:53
175,CAT,2476.52462,8891,ALERT,2024-12-28T10:32:54
176,NEE,1326.88019,8213,ALERT,2024-12-28T10:32:55
177,CI,484.14407,4099,ALERT,2024-12-28T10:32:56
178,ARKF,1878.41992,7941,CLOSED,2024-12-28T10:32:57
179,DLR,843.36060,5492,PENDING,2024-12-28T10:32:58
180,MS,866.01169,8296,NORMAL,2024-12-28T10:32:59
181,TXN,1141.53851,1608,NORMAL,2024-12-28T10:33:00
182,TEAM,1520.85023,2109,NORMAL,2024-12-28T10:33:01
183,AVGO,1329.73072,4353,PENDING,2024-12-28T10:33:02
184,USO,2406.25756,9505,PENDING,2024-12-28T10:33:03
185,NIO,546.21012,980,CLOSED,2024-12-28T10:33:04
186,ABNB,1688.84565,6770,ALERT,2024-12-28T10:33:05
187,INTC,1206.12542,5731,ALERT,2024-12-28T10:33:06
188,XLB,2200.92923,2063,ACTIVE,2024-12-28T10:33:07
189,PFE,24.11433,3405,ALERT,2024-12-28T10:33:08
190,TXN,938.91729,1572,CLOSED,2024-12-28T10:33:09
191,AWK,193.22170,7734,ACTIVE,2024-12-28T10:33:10
192,HON,677.47806,2798,ALERT,2024-12-28T10:33:11
193,VEA,661.28788,1533,ACTIVE,2024-12-28T10:33:12
194,SNPS,1833.52114,5903,CLOSED,2024-12-28T10:33:13
195,CAT,954.25655,7331,PENDING,2024-12-28T10:33:14
196,PNC,292.36175,8567,ACTIVE,2024-12-28T10:33:15
197,MOH,728.36071,5097,PENDING,2024-12-28T10:33:16
198,XLC,2320.88844,2194,ACTIVE,2024-12-28T10:33:17
199,VTI,1840.35311,7792,PENDING,2024-12-28T10:33:18
200,XLF,322.64281,7335,ALERT,2024-12-28T10:33:19
201,PLTR,728.31657,6435,ACTIVE,2024-12-28T10:33:20
202,ARKF,2085.23767,565,PENDING,2024-12-28T10:33:21
203,COST,1713.28730,8285,ALERT,2024-12-28T10:33:22
204,LRCX,2475.81757,846,ACTIVE,2024-12-28T10:33:23
205,MA,2385.67593,8710,CLOSED,2024-12-28T10:33:24
206,XOM,1373.74337,6124,ALERT,2024-12-28T10:33:25
207,ARKF,873.59353,6538,ALERT,2024-12-28T10:33:26
208,NIO,1309.54223,1911,PENDING,2024-12-28T10:33:27
209,SPLK,1102.46742,5698,ALERT,2024-12-28T10:33:28
210,DIA,856.72933,7883,ALERT,2024-12-28T10:33:29
211,TXN,1155.05618,6660,ACTIVE,2024-12-28T10:33:30
212,TFC,162.27373,5019,ALERT,2024-12-28T10:33:31
213,PFE,1229.26983,8912,CLOSED,2024-12-28T10:33:32
214,INTC,176.23882,7986,ACTIVE,2024-12-28T10:33:33
215,XLU,2119.26966,6627,NORMAL,2024-12-28T10:33:34
216,OKTA,2037.80727,7226,ACTIVE,2024-12-28T10:33:35
217,SCHW,166.88466,9131,PENDING,2024-12-28T10:33:36
218,VRTX,1803.46007,1088,ACTIVE,2024-12-28T10:33:37
219,NOC,2434.32045,3277,NORMAL,2024-12-28T10:33:38
220,GM,1646.10923,9542,ACTIVE,2024-12-28T10:33:39
221,PSX,1649.12659,780,PENDING,2024-12-28T10:33:40
222,XLC,835.47868,1938,NORMAL,2024-12-28T10:33:41
223,PSX,2079.95925,1592,ALERT,2024-12-28T10:33:42
224,FTNT,2428.79062,351,PENDING,2024-12-28T10:33:43
225,RIVN,2048.40766,4185,PENDING,2024-12-28T10:33:44
226,CRWD,1272.07297,2467,CLOSED,2024-12-28T10:33:45
227,FDX,1858.12847,461,PENDING,2024-12-28T10:33:46
228,AIQ,885.88284,2712,PENDING,2024-12-28T10:33:47
229,VTI,1754.33866,1560,ACTIVE,2024-12-28T10:33:48
230,CP,822.52287,7669,CLOSED,2024-12-28T10:33:49
231,NFLX,2220.57963,6499,PENDING,2024-12-28T10:33:50
232,ROKU,1725.21077,8026,PENDING,2024-12-28T10:33:51
233,GS,1342.78334,2862,CLOSED,2024-12-28T10:33:52
234,CDNS,545.60650,3138,PENDING,2024-12-28T10:33:53
235,GD,2485.93943,1180,ACTIVE,2024-12-28T10:33:54
236,PLTR,199.46839,5120,ACTIVE,2024-12-28T10:33:55
237,LMT,991.14830,8698,PENDING,2024-12-28T10:33:56
238,NET,1185.15172,1626,ALERT,2024-12-28T10:33:57
239,SBAC,1666.23916,5781,CLOSED,2024-12-28T10:33:58
240,SPGI,2039.08658,9839,NORMAL,2024-12-28T10:33:59
241,PNC,1018.52690,1620,PENDING,2024-12-28T10:34:00
242,MRNA,1202.44053,4688,ACTIVE,2024-12-28T10:34:01
243,WMT,1282.33812,8866,ACTIVE,2024-12-28T10:34:02
244,TSM,298.17719,8413,ACTIVE,2024-12-28T10:34:03
245,CME,1105.98507,5178,ALERT,2024-12-28T10:34:04
246,CI,1731.97682,1767,ACTIVE,2024-12-28T10:34:05
247,HUBS,109.56386,6267,ACTIVE,2024-12-28T10:34:06
248,REGN,2230.46325,4363,ALERT,2024-12-28T10:34:07
249,UBER,2361.91288,3230,NORMAL,2024-12-28T10:34:08
250,CI,1463.03569,8853,ALERT,2024-12-28T10:34:09
251,DPZ,1753.75678,2411,CLOSED,2024-12-28T10:34:10
252,HD,55.33377,8775,NORMAL,2024-12-28T10:34:11
253,TEAM,490.87977,475,PENDING,2024-12-28T10:34:12
254,UPS,886.87272,788,ACTIVE,2024-12-28T10:34:13
255,AMAT,1678.36754,9132,CLOSED,2024-12-28T10:34:14
256,CI,1983.93497,915,CLOSED,2024-12-28T10:34:15
257,MCO,2222.60764,1009,ALERT,2024-12-28T10:34:16
258,SHOP,90.94339,4635,CLOSED,2024-12-28T10:34:17
259,SBUX,1419.20981,9729,PENDING,2024-12-28T10:34:18
260,BND,2374.27335,689,NORMAL,2024-12-28T10:34:19
261,DISH,463.47727,6390,ACTIVE,2024-12-28T10:34:20
262,ELV,624.17170,7047,ALERT,2024-12-28T10:34:21
263,HON,67.25436,8410,PENDING,2024-12-28T10:34:22
264,MRNA,839.12912,312,CLOSED,2024-12-28T10:34:23
265,CRWD,807.23967,6050,CLOSED,2024-12-28T10:34:24
266,LLY,197.88173,6110,CLOSED,2024-12-28T10:34:25
267,CVS,1410.96850,8618,ACTIVE,2024-12-28T10:34:26
268,BKR,2483.28281,9122,CLOSED,2024-12-28T10:34:27
269,CDNS,1521.41485,4619,NORMAL,2024-12-28T10:34:28
270,XLB,1258.35516,2793,NORMAL,2024-12-28T10:34:29
271,DIS,1839.59709,3382,NORMAL,2024-12-28T10:34:30
272,SBAC,290.75400,8591,NORMAL,2024-12-28T10:34:31
273,SBAC,2035.69892,4803,CLOSED,2024-12-28T10:34:32
274,SBUX,138.99234,8181,ALERT,2024-12-28T10:34:33
275,RTX,721.33676,472,ACTIVE,2024-12-28T10:34:34
276,LUV,100.54993,1154,ACTIVE,2024-12-28T10:34:35
277,BAC,242.43200,986,NORMAL,2024-12-28T10:34:36
278,CSCO,1032.50220,2043,PENDING,2024-12-28T10:34:37
279,VWO,2378.00450,8875,ALERT,2024-12-28T10:34:38
280,LUV,160.07163,9240,NORMAL,2024-12-28T10:34:39
281,COF,245.19535,578,ALERT,2024-12-28T10:34:40
282,LMT,2414.14289,9067,ALERT,2024-12-28T10:34:41
283,C,2150.96374,9123,CLOSED,2024-12-28T10:34:42
284,KO,376.65752,4281,CLOSED,2024-12-28T10:34:43
285,ARKW,263.98394,1274,ACTIVE,2024-12-28T10:34:44
286,ORCL,823.47030,5920,ALERT,2024-12-28T10:34:45
287,TGT,2221.88393,147,NORMAL,2024-12-28T10:34:46
288,MRK,1036.86401,4737,CLOSED,2024-12-28T10:34:47
289,VRTX,1462.73033,757,NORMAL,2024-12-28T10:34:48
290,D,173.42670,7774,PENDING,2024-12-28T10:34:49
291,TM,2320.07211,7052,ALERT,2024-12-28T10:34:50
292,BOTZ,2196.41454,8341,ACTIVE,2024-12-28T10:34:51
293,TSM,958.40908,335,ALERT,2024-12-28T10:34:52
294,TSLA,2395.11616,3403,CLOSED,2024-12-28T10:34:53
295,LUMN,528.15260,5293,CLOSED,2024-12-28T10:34:54
296,SPGI,2189.88095,1865,ALERT,2024-12-28T10:34:55
297,USO,1199.67541,1685,ACTIVE,2024-12-28T10:34:56
298,EOG,635.59952,1427,ACTIVE,2024-12-28T10:34:57
299,NKE,1242.53458,4613,ALERT,2024-12-28T10:34:58
300,LUV,1423.82643,2226,CLOSED,2024-12-28T10:34:59
301,SO,1762.06488,3783,ACTIVE,2024-12-28T10:35:00
302,OXY,2438.97390,1729,PENDING,2024-12-28T10:35:01
303,COIN,1360.00288,2114,ACTIVE,2024-12-28T10:35:02
304,V,1274.63108,1786,NORMAL,2024-12-28T10:35:03
305,QTUM,1537.76924,1269,CLOSED,2024-12-28T10:35:04
306,NIO,271.11875,4959,ALERT,2024-12-28T10:35:05
307,CVX,502.84582,7817,ACTIVE,2024-12-28T10:35:06
308,BAC,253.60343,5131,ACTIVE,2024-12-28T10:35:07
309,DDOG,414.41940,9016,ACTIVE,2024-12-28T10:35:08
310,CSCO,668.77386,4611,NORMAL,2024-12-28T10:35:09
311,WFC,432.13179,7651,ALERT,2024-12-28T10:35:10
312,AMGN,1181.06924,2368,ACTIVE,2024-12-28T10:35:11
313,XLB,2380.78990,8147,PENDING,2024-12-28T10:35:12
314,CSCO,332.94109,5459,PENDING,2024-12-28T10:35:13
315,CMG,123.01094,4734,ALERT,2024-12-28T10:35:14
316,DIA,1128.30847,8140,CLOSED,2024-12-28T10:35:15
317,UAL,603.99057,1053,NORMAL,2024-12-28T10:35:16
318,RIVN,2148.97171,7592,ACTIVE,2024-12-28T10:35:17
319,SPGI,555.83929,6075,ALERT,2024-12-28T10:35:18
320,XLP,1193.89475,5941,ACTIVE,2024-12-28T10:35:19
321,XLK,1289.91211,6397,ACTIVE,2024-12-28T10:35:20
322,DFS,2357.28694,4721,NORMAL,2024-12-28T10:35:21
323,XOM,798.52956,8375,ALERT,2024-12-28T10:35:22
324,AAL,943.66920,1125,NORMAL,2024-12-28T10:35:23
325,OXY,665.22115,1151,NORMAL,2024-12-28T10:35:24
326,TSLA,2077.00898,9085,CLOSED,2024-12-28T10:35:25
327,PYPL,2116.54071,3969,ACTIVE,2024-12-28T10:35:26
328,QCOM,1083.13404,2438,CLOSED,2024-12-28T10:35:27
329,DOCU,1230.94027,4940,ALERT,2024-12-28T10:35:28
330,TM,1739.67701,6978,ACTIVE,2024-12-28T10:35:29
331,NOW,22.49573,9082,PENDING,2024-12-28T10:35:30
332,GM,1575.58745,6571,ACTIVE,2024-12-28T10:35:31
333,XLY,1721.30237,9027,PENDING,2024-12-28T10:35:32
334,VWO,424.60895,8018,NORMAL,2024-12-28T10:35:33
335,BLK,1064.36779,7217,ALERT,2024-12-28T10:35:34
336,MDB,2377.78769,7615,NORMAL,2024-12-28T10:35:35
337,MRNA,1442.26322,3138,ALERT,2024-12-28T10:35:36
338,NET,1619.43856,5223,ALERT,2024-12-28T10:35:37
339,ZS,1247.65835,173,PENDING,2024-12-28T10:35:38
340,XLI,2180.96430,4666,PENDING,2024-12-28T10:35:39
341,DUK,1409.14788,1345,PENDING,2024-12-28T10:35:40
342,AMZN,1476.91012,1986,CLOSED,2024-12-28T10:35:41
343,MCD,994.79840,7578,ALERT,2024-12-28T10:35:42
344,ROBO,1868.26743,868,ALERT,2024-12-28T10:35:43
345,QQQ,1149.64626,6295,NORMAL,2024-12-28T10:35:44
346,CI,301.11289,2318,PENDING,2024-12-28T10:35:45
347,PSX,2329.55521,8246,ALERT,2024-12-28T10:35:46
348,PLTR,2494.86477,6181,PENDING,2024-12-28T10:35:47
349,AXP,1824.18147,8951,CLOSED,2024-12-28T10:35:48
350,PEP,487.13332,765,NORMAL,2024-12-28T10:35:49
351,BAC,1231.34212,2955,NORMAL,2024-12-28T10:35:50
352,LUV,1092.50211,8927,NORMAL,2024-12-28T10:35:51
353,XLE,2258.59141,859,ACTIVE,2024-12-28T10:35:52
354,TEAM,1361.63194,2373,CLOSED,2024-12-28T10:35:53
355,PNC,550.61813,5733,ACTIVE,2024-12-28T10:35:54
356,XLNX,2324.32800,8695,ALERT,2024-12-28T10:35:55
357,XLE,2200.03457,8379,ALERT,2024-12-28T10:35:56
358,TXN,572.84920,612,CLOSED,2024-12-28T10:35:57
359,RIVN,522.62024,135,NORMAL,2024-12-28T10:35:58
360,XLNX,2476.26996,2586,PENDING,2024-12-28T10:35:59
361,RTX,1112.31420,6499,NORMAL,2024-12-28T10:36:00
362,QTUM,2491.78540,1256,ACTIVE,2024-12-28T10:36:01
363,DIS,2372.50242,3767,PENDING,2024-12-28T10:36:02
364,ZS,346.16448,9110,NORMAL,2024-12-28T10:36:03
365,ELV,2096.00593,4641,ALERT,2024-12-28T10:36:04
366,ES,1863.26812,6223,CLOSED,2024-12-28T10:36:05
367,NEE,2072.59598,163,NORMAL,2024-12-28T10:36:06
368,OXY,1255.90556,9170,PENDING,2024-12-28T10:36:07
369,MCD,2130.84499,4842,ALERT,2024-12-28T10:36:08
370,PINS,89.86498,8124,ACTIVE,2024-12-28T10:36:09
371,ADI,2050.24275,9226,ACTIVE,2024-12-28T10:36:10
372,MU,1242.79188,590,NORMAL,2024-12-28T10:36:11
373,TMUS,2498.86320,7069,ALERT,2024-12-28T10:36:12
374,SPLK,2341.82876,7898,CLOSED,2024-12-28T10:36:13
375,CVX,75.94493,6010,PENDING,2024-12-28T10:36:14
376,XLF,2095.60044,462,CLOSED,2024-12-28T10:36:15
377,UAL,256.06967,5114,ALERT,2024-12-28T10:36:16
378,CME,2123.25227,1251,NORMAL,2024-12-28T10:36:17
379,EQIX,565.12756,6815,PENDING,2024-12-28T10:36:18
380,NOW,1646.94260,8706,PENDING,2024-12-28T10:36:19
381,SMH,1859.96785,412,ALERT,2024-12-28T10:36:20
382,ROKU,1569.76277,6004,ALERT,2024-12-28T10:36:21
383,TGT,615.21630,6229,PENDING,2024-12-28T10:36:22
384,CNI,1732.74484,1011,ACTIVE,2024-12-28T10:36:23
385,NFLX,1999.45636,4705,ALERT,2024-12-28T10:36:24
386,LOW,1493.47351,1714,PENDING,2024-12-28T10:36:25
387,TFC,650.14418,7012,ALERT,2024-12-28T10:36:26
388,AMAT,1646.73316,6115,CLOSED,2024-12-28T10:36:27
389,TGT,2388.04592,9004,PENDING,2024-12-28T10:36:28
390,MA,2133.22132,436,CLOSED,2024-12-28T10:36:29
391,XLRE,1511.89662,1096,ACTIVE,2024-12-28T10:36:30
392,RTX,2074.86630,3767,NORMAL,2024-12-28T10:36:31
393,TWTR,308.32587,2088,CLOSED,2024-12-28T10:36:32
394,XLB,1705.72856,3455,ACTIVE,2024-12-28T10:36:33
395,BND,917.84380,3296,ALERT,2024-12-28T10:36:34
396,DVN,808.64440,2504,PENDING,2024-12-28T10:36:35
397,WMT,2362.26286,6580,NORMAL,2024-12-28T10:36:36
398,ROKU,972.66766,9693,PENDING,2024-12-28T10:36:37
399,CSX,926.49430,720,ALERT,2024-12-28T10:36:38
400,VZ,893.55169,2689,NORMAL,2024-12-28T10:36:39
401,LUV,68.32451,6881,CLOSED,2024-12-28T10:36:40
402,HON,2348.14149,4891,PENDING,2024-12-28T10:36:41
403,GE,2390.84797,8728,NORMAL,2024-12-28T10:36:42
404,SPLK,66.30100,6854,NORMAL,2024-12-28T10:36:43
405,VEA,154.32641,8481,CLOSED,2024-12-28T10:36:44
406,XLC,239.02751,4911,CLOSED,2024-12-28T10:36:45
407,DIS,1596.15874,6125,ALERT,2024-12-28T10:36:46
408,LI,808.49325,5687,NORMAL,2024-12-28T10:36:47
409,PLTR,1290.26392,3473,ACTIVE,2024-12-28T10:36:48
410,SPY,2018.87862,9459,ACTIVE,2024-12-28T10:36:49
411,XOM,1751.10065,1956,PENDING,2024-12-28T10:36:50
412,NIO,118.01758,1112,CLOSED,2024-12-28T10:36:51
413,MCO,2200.96906,5034,CLOSED,2024-12-28T10:36:52
414,GM,1925.23763,9869,CLOSED,2024-12-28T10:36:53
415,WFC,2009.26203,7350,CLOSED,2024-12-28T10:36:54
416,GS,967.15210,1069,ALERT,2024-12-28T10:36:55
417,SBUX,2258.83597,979,CLOSED,2024-12-28T10:36:56
